protected_attribute,age,income,credit_score,employment_years,education_level,label
1,35,75000,720,8,4,1
0,42,65000,680,12,3,1
1,28,45000,650,3,3,0
0,55,95000,750,25,5,1
1,31,55000,670,5,4,1
0,38,85000,710,10,5,1
1,45,70000,690,15,4,1
0,29,40000,630,2,3,0
1,52,90000,740,20,5,1
0,33,50000,660,6,3,0
1,40,80000,700,11,4,1
0,36,60000,675,7,4,1
1,48,85000,715,18,5,1
0,27,35000,620,1,2,0
1,44,72000,695,13,4,1
0,39,68000,685,9,4,1
1,51,88000,730,22,5,1
0,32,48000,655,4,3,0
1,46,78000,705,16,4,1
0,37,63000,678,8,4,1
1,49,86000,720,19,5,1
0,30,42000,640,3,3,0
1,43,71000,692,12,4,1
0,34,58000,670,6,3,1
1,50,87000,725,21,5,1
0,31,45000,645,4,3,0
1,47,79000,708,17,4,1
0,35,61000,672,7,4,1
1,53,91000,735,23,5,1
0,28,38000,625,2,2,0
