protected_attribute,age,income,credit_score,employment_years,education_level,label
0,23,37000,630,2,2,0
1,28,47000,660,4,3,1
0,33,57000,680,6,4,1
1,38,67000,700,8,4,1
0,43,77000,720,10,5,1
1,48,87000,740,12,5,1
0,53,97000,760,14,5,1
1,58,107000,780,16,5,1
0,63,117000,800,18,5,1
1,68,127000,820,20,5,1
0,73,137000,840,22,5,1
1,78,147000,860,24,5,1
0,83,157000,880,26,5,1
1,88,167000,900,28,5,1
0,93,177000,920,30,5,1
1,98,187000,940,32,5,1
0,103,197000,960,34,5,1
1,108,207000,980,36,5,1
0,113,217000,1000,38,5,1
1,118,227000,1020,40,5,1
0,123,237000,1040,42,5,1
1,128,247000,1060,44,5,1
0,133,257000,1080,46,5,1
1,138,267000,1100,48,5,1
0,143,277000,1120,50,5,1
1,148,287000,1140,52,5,1
0,153,297000,1160,54,5,1
1,158,307000,1180,56,5,1
0,163,317000,1200,58,5,1
1,168,327000,1220,60,5,1
0,173,337000,1240,62,5,1
